Nombres	Introduccion	Personaje	Opciones	Pregunta	Respuesta	Opcion  desbloqueada	Visibiliza Nombre	Sospechoso Encontrado	Pista Encontrada	Es Motivo	Es Motivo verdadero	Motivo en selector	Motivo en Hipotesis	Audios	Audio Dialogos Extra
Liam Tanner		1	1	¿Cúal es su nombre y profesión?	Ha....Hahaha...profesión...no tengo una profesión pero mi nombre es Liam Tanner.	1	S							Audio/Dialogos/Caso2/Detective/Det_c2_nombre_y_profesion;Audio/Dialogos/Caso2/Personas/Liam1_c2	
Liam Tanner		1	1	¿Cómo era su relación con la Sra Rowsbell?	Mala muy mala...pero no siempre fue así, solíamos tener una linda relación. Hasta creo que fui su empleado favorito.	2								Audio/Dialogos/Caso2/Detective/Det_c2_relacion_con_rowsbell;Audio/Dialogos/Caso2/Personas/Liam2_c2	
Liam Tanner		1	2	¿Usted trabajó para la Sra Rowsbell?	Sí, como dije trabaje para ella. Fui su asistente, su mano derecha. Ella me confiaba todo a mi. Eramos muy buenos amigos.	3								Audio/Dialogos/Caso2/Detective/Det_c2_liam1;Audio/Dialogos/Caso2/Personas/Liam3_c2	
Liam Tanner		1	3	¿Por qué se empezaron a llevar mal?	Bueno aunque el trabajo que tenía me gustaba, estaba esperando recibir un ascenso. Pero hubo unos rumores de que su sobrina iba a recibir el puesto, entonces decidí confrontarla, pero resultó en una pelea fea y en mi despido.	4								Audio/Dialogos/Caso2/Detective/Det_c2_liam2;Audio/Dialogos/Caso2/Personas/Liam4_c2	
Liam Tanner		1	4	¿Y entonces por eso la odiabas?	No claro que no, entiendo la decición que tomó. Fue lo que hizo después, lo que me molestó tanto.  	5								Audio/Dialogos/Caso2/Detective/Det_c2_liam3;Audio/Dialogos/Caso2/Personas/Liam5_c2	
Liam Tanner		1	5	Bueno no podés culparla por haber reaccionado así	No...claro que no. Yo fui el que estuvo fuera de lugar.	6								Audio/Dialogos/Caso2/Detective/Det_c2_liam4;Audio/Dialogos/Caso2/Personas/Liam6_c2	
Liam Tanner		1	6	¿Y por eso la odiabas?	Algo así... en realidad fue lo que hizo después lo que me molestó tanto. Por culpa de ella no podía conseguir trabajo en ninguna parte. Al parecer quedó tan resentida que a cada empresa donde buscaba trabajo, ella hablaba mal de mí. Ahora que ya no está, voy a poder seguir con mi vida. Se merecía lo que pasó.	0		Liam Tanner		S		Por evitar que pudiera conseguir trabajo despues del despido	no lo dejaban trabajar	Audio/Dialogos/Caso2/Detective/Det_c2_liam5;Audio/Dialogos/Caso2/Personas/Liam7_c2	
Mirtha Pendu		2	1	¿Cúal es su nombre y profesión?	Trabajo para la Sra Rowsbell...bueno trabajo en su empresa y mi nombre es Mirtha Pendu.	2	S							Audio/Dialogos/Caso2/Detective/Det_c2_nombre_y_profesion;Audio/Dialogos/Caso2/Personas/Socia1_c2	
Mirtha Pendu		2	1	¿Cómo era su relación con la Sra. Rowsbell?	La verdad siempre fue de lo mejor, gracias a ella tengo el puesto que tengo en la empresa.	3								Audio/Dialogos/Caso2/Detective/Det_c2_relacion_con_rowsbell;Audio/Dialogos/Caso2/Personas/Socia2_c2	
Mirtha Pendu		2	2	¿Mirtha Pendu? Lamento mucho oir eso. 	Si, mis padres de seguro me odiaban.	0								Audio/Dialogos/Caso2/Detective/Det_c2_socia1;Audio/Dialogos/Caso2/Personas/Socia3_c2	
